DATA-JOGO;JOGO_ID;CASA_ID;PONTOS_CASA;ARREM_PCT_CASA;LANC_LIV_PCT_CASA;ARREM_3PT_PCT_CASA;ASSISTS_CASA;REBOTES_CASA;VISITANTE_ID;PONTOS_VISIT;ARREM_PCT_VISIT;LANC_LIV_PCT_VISIT;ARREM_3PT_PCT_VISIT;ASSISTS_VISIT;REBOTES_VISIT;TIME_VENCEDOR
08/01/2020;21900559;1610612742;106.0;0.506;0.667;0.343;27.0;38.0;1610612743;107.0;0.482;0.8;0.375;27.0;38.0;VISITANTE
08/01/2020;21900560;1610612740;123.0;0.471;0.813;0.341;31.0;50.0;1610612741;108.0;0.446;0.5710000000000001;0.4;22.0;39.0;CASA
08/01/2020;21900561;1610612762;128.0;0.544;0.609;0.3720000000000001;29.0;50.0;1610612752;104.0;0.433;1.0;0.36;18.0;41.0;CASA
08/01/2020;21900562;1610612744;98.0;0.379;0.85;0.395;29.0;52.0;1610612749;107.0;0.402;0.875;0.22;22.0;47.0;VISITANTE
07/01/2020;21900548;1610612739;113.0;0.494;0.938;0.452;29.0;46.0;1610612765;115.0;0.462;0.857;0.394;26.0;40.0;VISITANTE
07/01/2020;21900549;1610612761;99.0;0.365;0.737;0.35700000000000004;21.0;57.0;1610612757;101.0;0.4320000000000001;0.857;0.371;23.0;45.0;VISITANTE
07/01/2020;21900550;1610612751;103.0;0.408;0.75;0.297;19.0;52.0;1610612760;111.0;0.413;0.828;0.297;19.0;51.0;VISITANTE
07/01/2020;21900551;1610612763;119.0;0.517;0.905;0.28600000000000003;22.0;44.0;1610612750;112.0;0.444;0.81;0.319;23.0;40.0;CASA
07/01/2020;21900552;1610612756;103.0;0.481;0.818;0.314;24.0;41.0;1610612758;114.0;0.44;0.893;0.417;18.0;41.0;VISITANTE
07/01/2020;21900553;1610612747;117.0;0.5;0.857;0.472;27.0;48.0;1610612752;87.0;0.389;0.563;0.2;15.0;47.0;CASA
06/01/2020;21900539;1610612766;104.0;0.457;0.909;0.333;21.0;38.0;1610612754;115.0;0.528;0.7859999999999999;0.385;31.0;43.0;VISITANTE
06/01/2020;21900540;1610612753;101.0;0.4320000000000001;0.742;0.308;21.0;60.0;1610612751;89.0;0.333;0.789;0.213;20.0;46.0;CASA
06/01/2020;21900541;1610612755;120.0;0.511;0.833;0.5;31.0;42.0;1610612760;113.0;0.449;0.677;0.414;17.0;47.0;CASA
06/01/2020;21900542;1610612764;99.0;0.464;0.609;0.333;18.0;47.0;1610612738;94.0;0.34700000000000003;0.769;0.21600000000000005;17.0;55.0;CASA
06/01/2020;21900543;1610612737;115.0;0.455;0.8440000000000001;0.462;24.0;34.0;1610612743;123.0;0.511;0.741;0.333;27.0;41.0;VISITANTE
06/01/2020;21900544;1610612740;126.0;0.479;0.8;0.387;23.0;48.0;1610612762;128.0;0.511;0.833;0.485;19.0;43.0;VISITANTE
06/01/2020;21900545;1610612742;118.0;0.524;0.737;0.39;25.0;43.0;1610612741;110.0;0.469;0.818;0.29;25.0;45.0;CASA
06/01/2020;21900546;1610612759;126.0;0.511;0.895;0.5429999999999999;23.0;54.0;1610612749;104.0;0.4;0.929;0.333;24.0;38.0;CASA
06/01/2020;21900547;1610612758;111.0;0.481;0.7829999999999999;0.5;27.0;43.0;1610612744;98.0;0.395;0.7809999999999999;0.192;19.0;44.0;CASA
05/01/2020;21900534;1610612746;135.0;0.542;0.818;0.563;25.0;42.0;1610612752;132.0;0.5710000000000001;0.649;0.522;22.0;37.0;CASA
05/01/2020;21900535;1610612748;122.0;0.522;0.625;0.409;34.0;47.0;1610612757;111.0;0.46;0.9;0.35100000000000003;21.0;40.0;CASA
05/01/2020;21900536;1610612739;103.0;0.476;0.789;0.32;15.0;44.0;1610612750;118.0;0.495;0.769;0.368;32.0;43.0;VISITANTE
05/01/2020;21900537;1610612756;114.0;0.453;0.846;0.231;25.0;46.0;1610612763;121.0;0.542;0.765;0.429;31.0;42.0;VISITANTE
05/01/2020;21900538;1610612747;106.0;0.457;0.696;0.3;23.0;50.0;1610612765;99.0;0.3720000000000001;0.857;0.423;21.0;43.0;CASA
